posteam,week,defteam,epa,pass_epa,rush_epa,success,pass_success,rush_success
ARI,1,TEN,0.18510035134424338,0.40524175779719046,-0.031101258912857158,0.40298507462686567,0.4444444444444444,0.36363636363636365
ARI,2,MIN,0.11648162638779593,0.18709064440500384,-0.09555268405852577,0.5166666666666667,0.5116279069767442,0.5
ARI,3,JAX,0.21610276282502275,0.23399294495978337,0.08214748596785487,0.53125,0.5384615384615384,0.48148148148148145
ARI,4,LA,0.3059580654482863,0.4285361153867813,0.10754447785010048,0.5616438356164384,0.6097560975609756,0.4857142857142857
ARI,5,SF,-0.01208032034071272,0.013434162755810513,-0.024830826783727392,0.45614035087719296,0.5294117647058824,0.375
ARI,6,CLE,0.2237708940696204,0.5429317664112531,-0.030491334881766568,0.4393939393939394,0.5405405405405406,0.37142857142857144
ARI,7,HOU,0.13694302835856903,0.3696210927715596,-0.11988472323162783,0.4925373134328358,0.6,0.38235294117647056
ARI,8,GB,0.05028688398359174,0.08954423095416039,0.03014916391985024,0.509090909090909,0.5897435897435898,0.4
ARI,9,SF,0.24492310247439059,0.5916943579086364,-0.034523907368446405,0.44776119402985076,0.59375,0.32432432432432434
ARI,10,CAR,-0.5789253617088127,-0.5303720974616775,-0.5558539123798255,0.2830188679245283,0.2857142857142857,0.3
ARI,11,SEA,0.18013296940262163,0.4086200135501726,-0.09186680479756286,0.5454545454545454,0.6,0.4838709677419355
ARI,13,CHI,0.12120204620739755,0.5045789848483022,-0.09880526073316805,0.46153846153846156,0.5217391304347826,0.41935483870967744
ARI,14,LA,-0.060379984100781395,-0.043639549866972174,-0.20207961396012897,0.4533333333333333,0.45901639344262296,0.35294117647058826
ARI,15,DET,-0.208128337424053,-0.25279984830549634,0.06558130585318922,0.410958904109589,0.4,0.47368421052631576
ARI,16,IND,0.059372578119481136,-0.06914208879883728,0.27281160269298466,0.46875,0.45454545454545453,0.47619047619047616
ATL,1,PHI,-0.27938932033814085,-0.3815475351693346,-0.10708534296739984,0.34375,0.38636363636363635,0.2962962962962963
ATL,2,TB,-0.27187962560226586,-0.18366594251898943,-0.44809051658448296,0.44285714285714284,0.5,0.35
ATL,3,NYG,0.03305041701510065,0.20649748084081404,-0.19902430667960871,0.3728813559322034,0.4634146341463415,0.23809523809523808
ATL,4,WAS,0.10580506010330491,0.4030666156603821,-0.20080347426227052,0.43661971830985913,0.5208333333333334,0.3333333333333333
ATL,5,NYJ,0.16161033310161774,0.3352480085404679,-0.07531789023362635,0.5,0.5510204081632653,0.42857142857142855
ATL,7,MIA,0.11623987711665157,0.18541623624059259,-0.03667628515732326,0.4426229508196721,0.5,0.3157894736842105
ATL,8,CAR,-0.22568702069174898,-0.1488245226320767,-0.1341522992649851,0.38,0.47058823529411764,0.3157894736842105
ATL,9,NO,0.09596352319423053,0.487281056261311,-0.6921942965505877,0.38181818181818183,0.5945945945945946,0.0
ATL,10,DAL,-0.4606960720115013,-0.7782186373715653,-0.13119313609786332,0.32075471698113206,0.3103448275862069,0.32
ATL,11,NE,-0.6108968453291499,-0.5933668857461797,-0.46793837784207426,0.34615384615384615,0.42105263157894735,0.1875
ATL,12,JAX,0.10845947546247196,0.18560336086920873,0.04554127356655394,0.47368421052631576,0.53125,0.4230769230769231
ATL,13,TB,-0.05242073498658004,-0.10435026667380391,0.019803543190143748,0.463768115942029,0.46938775510204084,0.4090909090909091
ATL,14,CAR,0.03672035449873292,0.18943279576363023,-0.0989659523741076,0.36507936507936506,0.3870967741935484,0.34285714285714286
ATL,15,SF,-0.23261429140276452,-0.1252577842736272,-0.3580567198483837,0.3275862068965517,0.4,0.21052631578947367
ATL,16,DET,0.08358392469105387,0.20963711914894193,-0.20951674063690007,0.4318181818181818,0.5555555555555556,0.2222222222222222
BAL,1,LV,-0.047958187244139396,0.08807802747716476,-0.2123349237781777,0.4090909090909091,0.525,0.25925925925925924
BAL,2,KC,0.17667740679535282,0.02793679852188716,0.25048267315198647,0.6176470588235294,0.5757575757575758,0.6097560975609756
BAL,3,DET,0.06036792230951625,0.1803487875959972,-0.31520469702149206,0.42857142857142855,0.425,0.4117647058823529
BAL,4,DEN,0.1018672774765533,0.20556675453473397,-0.1329921319692706,0.4857142857142857,0.5,0.43333333333333335
BAL,5,IND,0.29063080667274294,0.6742530018362305,-0.7996638532655901,0.6164383561643836,0.7407407407407407,0.2631578947368421
BAL,6,LAC,0.058067906261238485,-0.0799630946694009,0.16064063941816772,0.5606060606060606,0.48484848484848486,0.6176470588235294
BAL,7,CIN,-0.14045357797239805,-0.22642584082027953,0.0698861725427883,0.352112676056338,0.32727272727272727,0.3888888888888889
BAL,9,MIN,0.1052774836435949,0.020771647357281778,0.2986219984452815,0.5168539325842697,0.4827586206896552,0.55
BAL,10,MIA,-0.2740263238150921,-0.249980525205807,-0.14258449080424676,0.417910447761194,0.45098039215686275,0.42105263157894735
BAL,11,CHI,-0.0875828614821171,-0.06059067657741395,-0.05656140895485667,0.40789473684210525,0.42857142857142855,0.40625
BAL,12,CLE,-0.13086975948961282,-0.21203750519270587,-0.04166464859008556,0.4189189189189189,0.43902439024390244,0.3888888888888889
BAL,13,PIT,0.05486228877641703,0.20517011300027752,-0.12539160509080316,0.38571428571428573,0.4489795918367347,0.28
BAL,14,CLE,-0.10478489468060807,-0.1130143332106686,-0.2872021126824551,0.463768115942029,0.42857142857142855,0.47058823529411764
BAL,15,GB,0.20850001507132218,0.18401384479987723,0.26805562253438814,0.4925373134328358,0.4807692307692308,0.5294117647058824
BAL,16,CIN,0.09860078938021488,0.3202402374054972,-0.5914500792685431,0.47368421052631576,0.5454545454545454,0.26666666666666666
BUF,1,PIT,-0.09832721952709139,-0.12417622126783563,-0.15348480218017357,0.4050632911392405,0.4098360655737705,0.375
BUF,2,MIA,0.16109107055048139,0.09254142126820875,0.25084563448259495,0.43548387096774194,0.43243243243243246,0.4230769230769231
BUF,3,WAS,0.23517763634740088,0.448094349707672,-0.09671412740890109,0.49333333333333335,0.5714285714285714,0.37037037037037035
BUF,4,HOU,0.11665777241655953,0.08879151429373101,0.14297590508811986,0.6,0.6470588235294118,0.5555555555555556
BUF,5,KC,0.35192293677403086,0.652613073221225,-0.10843702434288825,0.49019607843137253,0.5483870967741935,0.391304347826087
BUF,6,TEN,0.12116740855036413,0.32812460010643146,-0.3036806710617384,0.47297297297297297,0.543859649122807,0.3
BUF,8,MIA,0.04478547823256622,0.2462302225369369,-0.38836969874316923,0.42424242424242425,0.5,0.3181818181818182
BUF,9,JAX,-0.1661722834084579,-0.09859828539904915,-0.6923025755836121,0.4,0.42857142857142855,0.18181818181818182
BUF,10,NYJ,0.461130498185441,0.5538395618470486,0.12575184404877723,0.6078431372549019,0.5882352941176471,0.5714285714285714
BUF,11,IND,0.012437887454542721,-0.11665173440768561,0.32423726231411387,0.5454545454545454,0.5116279069767442,0.6153846153846154
BUF,12,NO,0.14815982811609751,0.3765201239794962,-0.21570474729898187,0.532258064516129,0.6842105263157895,0.32142857142857145
BUF,13,NE,-0.19168536626316585,-0.09383531657502853,-0.4117590511991044,0.3508771929824561,0.4594594594594595,0.14285714285714285
BUF,14,TB,0.07560802565476568,-0.0195897996552081,0.47509415833701496,0.4868421052631579,0.4444444444444444,0.6875
